,True_Class,Pred_Class,C2,noise_level,experiment,fd_order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,Correct_Classification
27,unique,unique,194.7234263622079,1e-07,linear_unique_1,8.0,0.09216990653033802,0.031217223380165866,0.03121868597170894,6.516462428340744e-06,2.261474872809557e-06,4033.2904951784762,371.7480079503009,2079.081504533603,6237.244513600809,True
28,unique,unique,194.7234263622079,1e-07,linear_unique_1,10.0,0.0916478622808892,0.031217223382666182,0.031218611901576414,6.5164551543448465e-06,2.4769593641137037e-06,3991.928878370417,365.85174807999647,2079.081504533603,6237.244513600809,True
29,unique,unique,194.7234263622079,1e-07,linear_unique_1,12.0,0.0911128405212401,0.031217223382677448,0.031218550143481908,6.516455121580556e-06,2.6566258253071313e-06,3950.691797729114,359.9587517150641,2079.081504533603,6237.244513600809,True
30,unique,unique,194.723419236704,1e-06,linear_unique_1,2.0,0.09365838632920458,0.03120657943352364,0.031040446369432963,3.747985896050542e-05,0.0005211503633558371,4158.163019214549,389.446838473408,2079.0815096072747,6237.244528821824,True
31,unique,unique,194.723419236704,1e-06,linear_unique_1,4.0,0.09317513184512353,0.031212874459992577,0.031214495518968214,1.9165129214149153e-05,1.4448970268597473e-05,4116.403699462267,383.54645742515095,2079.0815096072747,6237.244528821824,True
32,unique,unique,194.723419236704,1e-06,linear_unique_1,6.0,0.09267898986565909,0.031212916496831257,0.031213603210747055,1.9042830377365493e-05,1.704496188066292e-05,4074.780788887762,377.6465674381112,2079.0815096072747,6237.244528821824,True
33,unique,unique,194.723419236704,1e-06,linear_unique_1,8.0,0.09216988076416276,0.03121291668678863,0.031212814751369083,1.9042277729671084e-05,1.933884108951268e-05,4033.2905058140586,371.7479050081115,2079.0815096072747,6237.244528821824,True
34,unique,unique,194.723419236704,1e-06,linear_unique_1,10.0,0.09164785495540007,0.031212916687644265,0.03121218311102361,1.9042275240342902e-05,2.1176493957706103e-05,3991.9288734865922,365.8517183895728,2079.0815096072747,6237.244528821824,True
35,unique,unique,194.723419236704,1e-06,linear_unique_1,12.0,0.09111286362223871,0.03121291668764812,0.03121165636105344,1.9042275229130216e-05,2.270899255439638e-05,3950.6918122575466,359.95884430371694,2079.0815096072747,6237.244528821824,True
36,unique,unique,194.72331820179824,1e-05,linear_unique_1,2.0,0.0936583411490006,0.031195509171752022,0.03101017589755723,6.964599306103925e-05,0.0006093014391681285,4158.16286756593,389.4466364035965,2079.081433782965,6237.2443013488955,True
37,unique,unique,194.72331820179824,1e-05,linear_unique_1,4.0,0.0931751066971937,0.031198223000911185,0.031168829877152686,6.174960019937315e-05,0.00014728323658077714,4116.403469992429,383.5463325252429,2079.081433782965,6237.2443013488955,True
38,unique,unique,194.72331820179824,1e-05,linear_unique_1,6.0,0.0926792012398614,0.031198236010365435,0.03115796272265337,6.171174716257692e-05,0.00017891146503533085,4074.7805084808483,377.6474027537613,2079.081433782965,6237.2443013488955,True
39,unique,unique,194.72331820179824,1e-05,linear_unique_1,8.0,0.09217013018176233,0.031198236068981994,0.031149677444381862,6.171157660856495e-05,0.00020302708306344102,4033.2901898087543,371.7488818554978,2079.081433782965,6237.2443013488955,True
40,unique,unique,194.72331820179824,1e-05,linear_unique_1,10.0,0.09164795022242485,0.031198236069246023,0.031143042017354787,6.171157584033717e-05,0.00022234166518159785,3991.928501841417,365.8520646282412,2079.081433782965,6237.2443013488955,True
41,unique,unique,194.72331820179824,1e-05,linear_unique_1,12.0,0.09111316634246598,0.03119823606924721,0.03113750890245141,6.171157583687683e-05,0.0002384483675318904,3950.6913010085177,359.9599936765224,2079.081433782965,6237.2443013488955,True
42,unique,unique,194.73018077169135,0.0001,linear_unique_1,2.0,0.09366160028848722,0.031155543662884394,0.030736180949675312,0.00018911421511388397,0.0014117179289852232,4158.164715783259,389.4603615433827,2079.0823578916297,6237.247073674889,True
43,unique,unique,194.73018077169135,0.0001,linear_unique_1,4.0,0.0931877877740984,0.031156493420098706,0.03075972008327592,0.00018634982269951644,0.0013429867410708067,4116.404798938603,383.5986567957707,2079.0823578916297,6237.247073674889,True
44,unique,unique,194.73018077169135,0.0001,linear_unique_1,6.0,0.09269546445193443,0.03115649772996546,0.030659641135843668,0.0001863372783158813,0.0016352911089459556,4074.7812344481326,377.71373906719634,2079.0823578916297,6237.247073674889,True
45,unique,unique,194.73018077169135,0.0001,linear_unique_1,8.0,0.09218734723311262,0.031156497749379054,0.03058428426018975,0.0001863372218102845,0.0018555389330480673,4033.2910861584073,371.81840585190304,2079.0823578916297,6237.247073674889,True
46,unique,unique,194.73018077169135,0.0001,linear_unique_1,10.0,0.09166628356979929,0.031156497749466504,0.030523927716635986,0.00018633722155576623,0.002032037946898352,3991.9320073716426,365.9255713790871,2079.0823578916297,6237.247073674889,True
47,unique,unique,194.73018077169135,0.0001,linear_unique_1,12.0,0.09113248162239752,0.03115649774946689,0.030473595803319146,0.0001863372215546198,0.002179285581768587,3950.692309118883,360.0363942565238,2079.0823578916297,6237.247073674889,True
48,unique,unique,195.9019598315233,0.001,linear_unique_1,2.0,0.09422557364380041,0.031195590663273914,0.02782765996130832,0.0006198607013134678,0.010562138917245579,4158.148414613822,391.8039196630466,2079.074207306911,6237.222621920733,True
49,unique,unique,195.9019598315233,0.001,linear_unique_1,4.0,0.09423407050021106,0.031195878599247526,0.026360350938479014,0.000619021814136504,0.01497654642799076,4116.3798554015875,387.9032294995618,2079.074207306911,6237.222621920733,True
