,True_Class,Pred_Class,C2,noise_level,fd_order,experiment,Correct_Classification
26,non unique,,0.25,1e-05,8,algebraic_nonunique_1,False
27,non unique,,0.25,0.0001,8,algebraic_nonunique_1,False
28,non unique,,0.25,0.001,8,algebraic_nonunique_1,False
29,non unique,,0.25,0.01,8,algebraic_nonunique_1,False
30,non unique,non unique,0.1,0.0,8,algebraic_nonunique_1,True
31,non unique,non unique,0.1,1e-10,8,algebraic_nonunique_1,True
32,non unique,non unique,0.1,1e-09,8,algebraic_nonunique_1,True
33,non unique,non unique,0.1,1e-08,8,algebraic_nonunique_1,True
34,non unique,non unique,0.1,1e-07,8,algebraic_nonunique_1,True
35,non unique,,0.1,1e-06,8,algebraic_nonunique_1,False
36,non unique,,0.1,1e-05,8,algebraic_nonunique_1,False
37,non unique,,0.1,0.0001,8,algebraic_nonunique_1,False
38,non unique,,0.1,0.001,8,algebraic_nonunique_1,False
39,non unique,,0.1,0.01,8,algebraic_nonunique_1,False
40,non unique,non unique,0.01,0.0,8,algebraic_nonunique_1,True
41,non unique,non unique,0.01,1e-10,8,algebraic_nonunique_1,True
42,non unique,non unique,0.01,1e-09,8,algebraic_nonunique_1,True
43,non unique,non unique,0.01,1e-08,8,algebraic_nonunique_1,True
44,non unique,,0.01,1e-07,8,algebraic_nonunique_1,False
45,non unique,,0.01,1e-06,8,algebraic_nonunique_1,False
46,non unique,,0.01,1e-05,8,algebraic_nonunique_1,False
47,non unique,,0.01,0.0001,8,algebraic_nonunique_1,False
48,non unique,,0.01,0.001,8,algebraic_nonunique_1,False
49,non unique,,0.01,0.01,8,algebraic_nonunique_1,False
50,non unique,non unique,0.001,0.0,8,algebraic_nonunique_1,True
51,non unique,non unique,0.001,1e-10,8,algebraic_nonunique_1,True
52,non unique,non unique,0.001,1e-09,8,algebraic_nonunique_1,True
53,non unique,,0.001,1e-08,8,algebraic_nonunique_1,False
54,non unique,,0.001,1e-07,8,algebraic_nonunique_1,False
55,non unique,,0.001,1e-06,8,algebraic_nonunique_1,False
56,non unique,,0.001,1e-05,8,algebraic_nonunique_1,False
57,non unique,,0.001,0.0001,8,algebraic_nonunique_1,False
58,non unique,,0.001,0.001,8,algebraic_nonunique_1,False
59,non unique,,0.001,0.01,8,algebraic_nonunique_1,False
60,non unique,non unique,0.0001,0.0,8,algebraic_nonunique_1,True
61,non unique,non unique,0.0001,1e-10,8,algebraic_nonunique_1,True
62,non unique,,0.0001,1e-09,8,algebraic_nonunique_1,False
63,non unique,,0.0001,1e-08,8,algebraic_nonunique_1,False
64,non unique,,0.0001,1e-07,8,algebraic_nonunique_1,False
65,non unique,,0.0001,1e-06,8,algebraic_nonunique_1,False
66,non unique,,0.0001,1e-05,8,algebraic_nonunique_1,False
67,non unique,,0.0001,0.0001,8,algebraic_nonunique_1,False
68,non unique,,0.0001,0.001,8,algebraic_nonunique_1,False
69,non unique,,0.0001,0.01,8,algebraic_nonunique_1,False
70,non unique,non unique,1e-05,0.0,8,algebraic_nonunique_1,True
71,non unique,,1e-05,1e-10,8,algebraic_nonunique_1,False
72,non unique,,1e-05,1e-09,8,algebraic_nonunique_1,False
73,non unique,,1e-05,1e-08,8,algebraic_nonunique_1,False
74,non unique,,1e-05,1e-07,8,algebraic_nonunique_1,False
75,non unique,,1e-05,1e-06,8,algebraic_nonunique_1,False
76,non unique,,1e-05,1e-05,8,algebraic_nonunique_1,False
77,non unique,,1e-05,0.0001,8,algebraic_nonunique_1,False
78,non unique,,1e-05,0.001,8,algebraic_nonunique_1,False
79,non unique,,1e-05,0.01,8,algebraic_nonunique_1,False
80,non unique,non unique,1e-06,0.0,8,algebraic_nonunique_1,True
81,non unique,,1e-06,1e-10,8,algebraic_nonunique_1,False
82,non unique,,1e-06,1e-09,8,algebraic_nonunique_1,False
83,non unique,,1e-06,1e-08,8,algebraic_nonunique_1,False
84,non unique,,1e-06,1e-07,8,algebraic_nonunique_1,False
85,non unique,,1e-06,1e-06,8,algebraic_nonunique_1,False
86,non unique,,1e-06,1e-05,8,algebraic_nonunique_1,False
87,non unique,,1e-06,0.0001,8,algebraic_nonunique_1,False
88,non unique,,1e-06,0.001,8,algebraic_nonunique_1,False
89,non unique,,1e-06,0.01,8,algebraic_nonunique_1,False
0,unique,,1.0,0.0,8,analytic_unique_1,False
1,unique,,1.0,1e-10,8,analytic_unique_1,False
2,unique,,1.0,1e-09,8,analytic_unique_1,False
3,unique,,1.0,1e-08,8,analytic_unique_1,False
4,unique,,1.0,1e-07,8,analytic_unique_1,False
5,unique,non unique,1.0,1e-06,8,analytic_unique_1,False
